district_code,data_source,property_id,dealing_number,unit_number,street_number,street_name,suburb,postcode,purchase_price,legal_description,area,area_type,dimensions,interest_of_sale,zoning,nature_of_property,primary_purpose,contract_date,settlement_date,sale_counter,download_datetime,property_name,strata_lot_number,vendor_gst_flag,propid_unique,source_year,source_week
82,ARCHIVE,T230701,,,186,SOMERVILLE RD,HORNSBY HEIGHTS,2077.0,235000.0,LOT 5 DP239232,929.0,M,18.290 X 55.470,,,,,1990-01-05,1990-01-05,,,,,,,1990,annual
83,ARCHIVE,T08323803,,,29,MILLING ST,HUNTERS HILL,2110.0,237000.0,LOT 5 DP7722,807.0,M,15.85X50.93/50.95,,A,,,1990-01-05,1990-01-05,,,,,,,1990,annual
62,ARCHIVE,T0043330000000,,,,COREEN ST,JERILDERIE,2716.0,0.0,SEC 32 LOTS 2/4 & PT 1,8.0,H,,,,,,1990-01-05,1990-01-05,,,,,,,1990,annual
62,ARCHIVE,T0053900000000,,,23,KENNEDY ST,JERILDERIE,2716.0,0.0,PT LOT 6 SEC 10,1012.0,M,25.15 X 40.23,,,,,1990-01-05,1990-01-05,,,,,,,1990,annual
62,ARCHIVE,T0059410000000,,,24,MAHONGA ST,JERILDERIE,2716.0,0.0,LOT 11 DP 594088,1012.0,M,,,,,,1990-01-05,1990-01-05,,,,,,,1990,annual
62,ARCHIVE,T0026400000000,,,7,MCDOUGALL ST,JERILDERIE,2716.0,0.0,LOT 10 DP 2641,2732.0,M,100.58/CRKX 66.37/0,,,,,1990-01-05,1990-01-05,,,,,,,1990,annual
81,ARCHIVE,T105261,,,19,FUGGLES RD,KENTHURST,2156.0,505000.0,LOT 11 DP253860,2.0,H,,,,,,1990-01-05,1990-01-05,,,,,,,1990,annual
4,ARCHIVE,0T35649000000,,,133,KILABEN RD,KILABEN BAY,2283.0,87500.0,LOT 7 DP 22044,1499.0,M,,,A,,,1990-01-05,1990-01-05,,,,,,,1990,annual
224,ARCHIVE,678310000000,,,133,FROGMORE RD,KINGSWOOD,2750.0,515000.0,PART LOT 11 DP 831409.,2.223,H,,RA,R,,,1990-01-05,1990-01-05,,,,,,,1990,annual
135,ARCHIVE,T655828,,,53,YARRAM ST,LIDCOMBE,2141.0,0.0,LOT 94 DP16795,587.0,M,12.8X45.72,,A,,,1990-01-05,1990-01-05,,,,,,,1990,annual
222,ARCHIVE,T656446,,,154,HASSANS WALLS RD,LITHGOW,2790.0,0.0,LOT 11 DP 5255,0.0,M,12.27,,,,,1990-01-05,1990-01-05,,,,,,,1990,annual
90,ARCHIVE,T0091092161036,,36,31,FONTENOY RD,MACQUARIE PARK,2113.0,0.0,LOT 36 SP 17984,0.0,M,,,,,,1990-01-05,1990-01-05,,,,,,,1990,annual
4,ARCHIVE,0T10218111900,,,2,MALWOOD AV,MACQUARIE HILLS,2285.0,120000.0,LOT 314 DP 244081,632.0,M,,,A,,,1990-01-05,1990-01-05,,,,,,,1990,annual
14,ARCHIVE,T2336900000000,,,10,MONTROSE ST,MANNERING PARK,2259.0,0.0,LOT 37 DP 540577 & P O 77/51,0.0,M,16.76,,,,,1990-01-05,1990-01-05,,,,,,,1990,annual
89,ARCHIVE,T134976,,,30,BAKER ST,MERRYLANDS,2160.0,67000.0,COR LOT 33 SEC 2 DP 1260,465.0,M,,,,,,1990-01-05,1990-01-05,,,,,,,1990,annual
144,ARCHIVE,T2509200000000,,,48,MATSON CRES,MIRANDA,2228.0,485000.0,LOT 89 DP10693,331.0,M,12.19/HWMX54.86/53.64,,,,,1990-01-05,1990-01-05,,,,,,,1990,annual
214,ARCHIVE,T140955,,,17,GEORGE ST,MOUNT DRUITT,2770.0,67000.0,LOT 13 SECTION H DP 2042,1012.0,M,,,,,,1990-01-05,1990-01-05,,,,,,,1990,annual
120,ARCHIVE,T0188110000000,,,44,ROBERTSON ST,MUDGEE,2850.0,107500.0,LOT 3 DP24511,0.0,M,15.09 X 41.78/42.11,,,,,1990-01-05,1990-01-05,,,,,,,1990,annual
7,ARCHIVE,T0323100000000,,,37,HUMPHRIES ST,MUSWELLBROOK,2333.0,79000.0,LOT 151 DP242024,689.0,M,18.9X36.58,,,,,1990-01-05,1990-01-05,,,,,,,1990,annual
10,ARCHIVE,T01039215,,,8,PARKES ST,NELSON BAY,2315.0,152000.0,LOT 155 DP11268,0.0,M,16.76X45.72,,,,,1990-01-05,1990-01-05,,,,,,,1990,annual
206,ARCHIVE,T0670500000000,,,200,EDGEWARE RD,NEWTOWN,2042.0,0.0,LOT 1 DP 547320,138.0,M,4.67/4.93 X 29.51,,280,,,1990-01-05,1990-01-05,,,,,,,1990,annual
211,ARCHIVE,T0881400000000,,,39,QUEEN ST,NEWTOWN,2042.0,0.0,LOT 12 DP 4638,228.0,M,4.78/4.78 X 71.00/71.00,,,,,1990-01-05,1990-01-05,,,,,,,1990,annual
14,ARCHIVE,T1772200000000,,,19,KERRY LOUISE AV,NORAVILLE,2263.0,0.0,LOT 3 SEC F DP 25957,486.0,M,16.76X30.4B 16.760 X 30.000,,,,,1990-01-05,1990-01-05,,,,,,,1990,annual
81,ARCHIVE,T151109,,,340A,NORTH ROCKS RD,NORTH ROCKS,2151.0,40500000.0,LOT 1 DP622156,4.0,H,,,,,,1990-01-05,1990-01-05,,,,,,,1990,annual
103,ARCHIVE,T1902650000000,,20,2,HINDMARSH AVE,NORTH WOLLONGONG,2500.0,105000.0,LOT 20 SP 35790,0.0,M,,,,,,1990-01-05,1990-01-05,,,,,,,1990,annual
124,ARCHIVE,T12441965,,,4,BILL MARSHALL DR,ORANGE,2800.0,33000.0,LOT 76 DP 791356,913.0,M,22X41.5,,,,,1990-01-05,1990-01-05,,,,,,,1990,annual
124,ARCHIVE,T12445883,,,11,SETTLERS CL,ORANGE,2800.0,131000.0,LOT 115 DP 263614,754.0,M,IRR 21.5/21.5X35/36.6,,,,,1990-01-05,1990-01-05,,,,,,,1990,annual
224,ARCHIVE,T674234,,,,FROGMORE RD,ORCHARD HILLS,2748.0,515000.0,LOT 2 DP533975,2.0,H,,,,,,1990-01-05,1990-01-05,,,,,,,1990,annual
93,ARCHIVE,T0116200000000,,,1074,BARRENJOEY RD,PALM BEACH,2108.0,260000.0,LOT 54 DP 6746,0.0,M,20.12X60.96,,,,,1990-01-05,1990-01-05,,,,,,,1990,annual
116,ARCHIVE,T11647335,,,42,BACK TRUNDLE RD,PARKES,2600.0,49000.0,LOT 3 DP569732,767.0,M,,,Z,,,1990-01-05,1990-01-05,,,,,,,1990,annual
89,ARCHIVE,T160385,,3,17,ELIZABETH ST,PARRAMATTA,2150.0,127000.0,LOT 3 SP 17060,0.0,M,,,,,,1990-01-05,1990-01-05,,,,,,,1990,annual
141,ARCHIVE,T163471,,,70,MCRAE AVE,PENSHURST,2222.0,295000.0,LOT 129 DP 12296,572.0,M,13.41X42.67,,,,,1990-01-05,1990-01-05,,,,,,,1990,annual
120,ARCHIVE,T0266635000000,,,,PH COPE,PH PORS,0.0,14000.0,LOT 34 DP249220,15.0,H,,,,,,1990-01-05,1990-01-05,,,,,,,1990,annual
144,ARCHIVE,T3169600000000,,,689,PORT HACKING RD S,PORT HACKING,2229.0,325000.0,LOT B,1007.0,M,33.58/11.43X45.19/44.3,,,,,1990-01-05,1990-01-05,,,,,,,1990,annual
214,ARCHIVE,T167940,,29,195,PROSPECT HWY,PROSPECT,2148.0,227000.0,LOT 29 SP 36032,222.0,M,,,,,,1990-01-05,1990-01-05,,,,,,,1990,annual
214,ARCHIVE,T167939,,28,195,PROSPECT HWY,PROSPECT,2148.0,235000.0,LOT 28 SP 36032,222.0,M,,,,,,1990-01-05,1990-01-05,,,,,,,1990,annual
214,ARCHIVE,T167333,,,87,ALDGATE ST,PROSPECT,2148.0,125000.0,LOT 2 DP 245832,563.0,M,,,,,,1990-01-05,1990-01-05,,,,,,,1990,annual
84,ARCHIVE,T0341800000000,,,23,BOBBIN HEAD RD,PYMBLE,2073.0,341000.0,LOT 4 DP221542,980.0,M,19.33/19.28X50.75/50.95,,,,,1990-01-05,1990-01-05,,,,,,,1990,annual
84,ARCHIVE,T0405101000000,,,4,BRADFORD ST,PYMBLE,2073.0,255000.0,COR LOT PT 9/10 DP12231,696.0,M,22.86X30.48,,,,,1990-01-05,1990-01-05,,,,,,,1990,annual
214,ARCHIVE,T687814,,,,MORRELL CR,QUAKERS HILL,2763.0,0.0,LOT 268 DP 800004 PUBLIC RESERVE,1326.0,M,,,,,,1990-01-05,1990-01-05,,,,,,,1990,annual
162,ARCHIVE,T0079311000000,,,53,COROMONT DR,REDHEAD,2290.0,50000.0,LOT 70 DP262683,557.0,M,,,,,,1990-01-05,1990-01-05,,,,,,,1990,annual
84,ARCHIVE,T0121800000000,,,27,ATHENA AVE,ST IVES,2075.0,470000.0,LOT 32 DP232272,1093.0,M,21.34X51.21,,,,,1990-01-05,1990-01-05,,,,,,,1990,annual
206,ARCHIVE,T0656600000000,,,13,DURHAM LN,STANMORE,2048.0,150500.0,SEC O LOT27 DP1933,171.0,M,5.49 X 30.48,,101,,,1990-01-05,1990-01-05,,,,,,,1990,annual
143,ARCHIVE,T193326,,,1,BARTON ST,STRATHFIELD SOUTH,2136.0,700000.0,SEC 1 LOT 26 & REAR PTS 23/25 DP440,0.0,M,,,,,,1990-01-05,1990-01-05,,,,,,,1990,annual
698,ARCHIVE,T1826400000002,,,59,PHILIP ST,TAMWORTH,2340.0,0.0,LOT 51 DP 35758,639.0,M,17.37 X 36.96,,,,,1990-01-05,1990-01-05,,,,,,,1990,annual
698,ARCHIVE,T1767400000002,,,39,PEEL ST,TAMWORTH,2340.0,69950.0,LOT 2 DP 27025,601.0,M,21.34/23.83X33.5/22.83,,,,,1990-01-05,1990-01-05,,,,,,,1990,annual
162,ARCHIVE,T0976600000000,,,3,PATRICIA AV,TAREE,2430.0,87000.0,LOT 141 DP240272,676.0,M,,,,,,1990-01-05,1990-01-05,,,,,,,1990,annual
91,ARCHIVE,T1631930000000,,,4,GARRETT AV,TERREY HILLS,2084.0,260000.0,LOT 2 DP238124,0.0,M,25.93X27.43,,,,,1990-01-05,1990-01-05,,,,,,,1990,annual
103,ARCHIVE,T3895800000000,,,23,SEAVIEW TCE,THIRROUL,2515.0,155000.0,LOT B DP161465,0.0,M,16/15.85X50.29,,,,,1990-01-05,1990-01-05,,,,,,,1990,annual
89,ARCHIVE,T206380,,,41,BUDGEREE RD,TOONGABBIE,2146.0,135000.0,LOT 33A & 33C,1048.0,M,,,,,,1990-01-05,1990-01-05,,,,,,,1990,annual
171,ARCHIVE,T1188600000000,,1,76,RIVIERA AV,TWEED HEADS,2485.0,0.0,LOT 1 SP 13010,0.0,M,UNIT ENT : 50 %,,,,,1990-01-05,1990-01-05,,,,,,,1990,annual
575,ARCHIVE,T0029511200007,,,25,AMAROO ST,WAGGA WAGGA,2650.0,32500.0,LOT 142 DP701742 SUBJ TO E'MENT,929.0,M,21.18 X 42.27,,,,,1990-01-05,1990-01-05,,,,,,,1990,annual
575,ARCHIVE,T0694200000008,,,196,KINCAID ST,WAGGA WAGGA,2650.0,73000.0,LOT 3 DP12483,1341.0,M,14.78X90.53,,,,,1990-01-05,1990-01-05,,,,,,,1990,annual
575,ARCHIVE,T1220150009002,,6,9,TRAVERS ST,WAGGA WAGGA,2650.0,75000.0,LOT 9 SP 35846,0.0,M,,,,,,1990-01-05,1990-01-05,,,,,,,1990,annual
211,ARCHIVE,T210423,,,135,PHILLIP ST,WATERLOO,2017.0,205000.0,LOT 4 FP 109837 VOL 7680 FOL 192,139.0,M,,,,,,1990-01-05,1990-01-05,,,,,,,1990,annual
211,ARCHIVE,T210517,,7,198,YOUNG ST,WATERLOO,2017.0,486000.0,LOT 7 S/P 36039,2169.0,M,,,,,,1990-01-05,1990-01-05,,,,,,,1990,annual
211,ARCHIVE,T210515,,5,198,YOUNG ST,WATERLOO,2017.0,939000.0,LOT 5 S/P 36039,2169.0,M,,,,,,1990-01-05,1990-01-05,,,,,,,1990,annual
92,ARCHIVE,T217885,,,29,PENKIVIL ST,WILLOUGHBY,2068.0,255000.0,PT LOTS 13/14 SEC 2 DP 4667,243.0,M,6.45/6.22X38.4,,A,,,1990-01-05,1990-01-05,,,,,,,1990,annual
162,ARCHIVE,T1382801000000,,,32,STOCKYARD CCT,WINGHAM,2429.0,25000.0,LOT 100 DP263438,1235.0,M,,,,,,1990-01-05,1990-01-05,,,,,,,1990,annual
211,ARCHIVE,T222892,,,159,CATHEDRAL ST,WOOLLOOMOOLOO,2011.0,220000.0,LOT 3 DP 596259 VOL 2097 FOL 796,136.0,M,6.69/6.55 X 9.72/9.77,,,,,1990-01-05,1990-01-05,,,,,,,1990,annual
22,ARCHIVE,T0225721800000,,,11,ANDERSON AV,YOUNG,2594.0,12500.0,LOT 52 DP778084,1160.0,M,,,,,,1990-01-05,1990-01-05,,,,,,,1990,annual
82,VALNET1,0758252000000,,,,,,,283000.0,LOT 9908 DP 776087. DUPLICATES OF VAL NO.S 7579/00904 7579/000905 & 7579/00906 RESPECTIVELY,,,,ER,A,,,1990-01-05,1990-01-05,,,,,,,1990,annual
8,ARCHIVE,T4562900000000,,,5,WELLS ST,ADAMSTOWN,2289.0,0.0,SEC F LOT 3 DP 10602,705.0,M,15.24 X 45.72,,A,,,1990-01-06,1990-01-06,,,,,,,1990,annual
92,ARCHIVE,T003958,,802,4,BROUGHTON RD,ARTARMON,2064.0,216000.0,LOT 44 SP 14712,0.0,M,,,A,,,1990-01-06,1990-01-06,,,,,,,1990,annual
4,ARCHIVE,0T22391911000,,,20,SOVEREIGN CL,FLORAVILLE,2280.0,58000.0,LOT 33 DP 802589,0.0,M,,,A,,,1990-01-06,1990-01-06,,,,,,,1990,annual
197,ARCHIVE,T688656,,,22,CENTRE ST,QUIRINDI,2343.0,40000.0,,817.0,M,,,,,,1990-01-06,1990-01-06,,,,,,,1990,annual
90,ARCHIVE,T0024230000000,,,11,BETOLA PL,RYDE,2112.0,0.0,LOT 17 DP29806,870.0,M,ARC.10.815/IRR X 39.07/,,,,,1990-01-06,1990-01-06,,,,,,,1990,annual
199,ARCHIVE,0134600000000,1881463.0,,,.,URALLA,2358.0,452500.0,PSH TORRYBURN PORS 21 48/51 55/58 77/81 84 85120 121 156 159 160 172 1,828.0,H,,,R,,,1990-01-07,1990-01-07,,,,,,,1990,annual
86,ARCHIVE,T605913,,,21,HOGAN ST,BALGOWLAH HEIGHTS,2093.0,0.0,LOT F DP36499,540.0,M,15.24X36.58,,A,,,1990-01-07,1990-01-07,,,,,,,1990,annual
14,ARCHIVE,T0517400000000,,,218,BUFF POINT AV,BUFF POINT,2262.0,0.0,LOT 84 DP 13209,980.0,M,17.37/15.24X65.25/64.47 17.370 X 65.250,,,,,1990-01-07,1990-01-07,,,,,,,1990,annual
174,ARCHIVE,0080951111000,,,,CASSEA ST,EVANS HEAD,2473.0,40000.0,LOT 33 DP 806937.,765.0,M,,,Z,,,1990-01-07,1990-01-07,,,,,,,1990,annual
4,ARCHIVE,0T22385523000,,,12,IMPERIAL CL,FLORAVILLE,2280.0,80000.0,LOT 86 DP 805383,1007.0,M,3.580 FRONTAGE,,A,,,1990-01-07,1990-01-07,,,,,,,1990,annual
235,ARCHIVE,T23532974,,,,MENINDEE ENVIRONMENTS,MENINDEE,2879.0,400.0,WLL 427  486  9864 & PO 68/22,41.0,H,,,A,,,1990-01-07,1990-01-07,,,,,,,1990,annual
214,ARCHIVE,178053500000,,,45,BANCROFT ST,OAKHURST,2770.0,55000.0,LOT 46 DP 805954.,460.2,M,,DX,A,,,1990-01-07,1990-01-07,,,,,,,1990,annual
84,ARCHIVE,T0508700000000,,,10,BURRANEER AVE,ST IVES,2075.0,271000.0,LOT 5 DP237717 S3,981.0,M,30.18/30.33X33.88/30.73,,,,,1990-01-07,1990-01-07,,,,,,,1990,annual
143,ARCHIVE,T0035370000000,,,234,HOMEBUSH RD,STRATHFIELD,2135.0,0.0,COR LOT 79 DP755,1007.0,M,20.320 X 49.560,,,,,1990-01-07,1990-01-07,,,,,,,1990,annual
199,VALNET1,0079428500000,,,,.,URALLA,2358.0,30500.0,PH ELTON LOT 87 DP 249072,2.0,H,,RC,R,,,1990-01-07,1990-01-07,,,,,,,1990,annual
575,ARCHIVE,T1154100000003,,,13,SWAN ST,WAGGA WAGGA,2650.0,102500.0,LOT 127 DP255715 SUBJ TO DE,738.0,M,18 X 41,,,,,1990-01-07,1990-01-07,,,,,,,1990,annual
3,ARCHIVE,T035870600000000,,,12,BELINA AV,WYOMING,2250.0,128500.0,LOT 213 DP 240031,658.0,M,,,A,,,1990-01-07,1990-01-07,,,,,,,1990,annual
4,VALNET1,4543310000000,171342.0,,31,CATALINA RD,BONNELLS BAY,2264.0,47000.0,LOT 71 DP 625580.,8994.0,M,,RF,R,,,1990-01-08,1990-01-08,,,,,,,1990,annual
137,VALNET1,0346200000000,1392721.0,,2,GORDON ST,BURWOOD,2134.0,255000.0,"PART LOT 25 DP 920726, LOT 26 DP 920726.",,,,A,A,,,1990-01-08,1990-01-08,,,,,,,1990,annual
137,ARCHIVE,0531100000000,1395112.0,,9,NEICH PDE,BURWOOD,2134.0,171000.0,LOT 1 DP 121824.,278.0,M,,,A,,,1990-01-08,1990-01-08,,,,,,,1990,annual
575,ARCHIVE,1579700000000,2715378.0,,,STURT HWY EAST,GUMLY GUMLY,2652.0,90000.0,"PSH GUMLY GUMLY LOT 24 DP 757232, SH 1919/1    .",24.14,H,,,R,,,1990-01-08,1990-01-08,,,,,,,1990,annual
140,VALNET1,2073210000000,1487867.0,,23,YARRAN RD,OATLEY,2223.0,190000.0,LOT 311 DP 733188.,691.4,M,,HR,A,,,1990-01-08,1990-01-08,,,,,,,1990,annual
656,ARCHIVE,2194510270000,2740404.0,,,THE FAIRWAY,PORT MACQUARIE,2444.0,61000.0,LOT 53 DP 807508.,1120.0,M,,,A,,,1990-01-08,1990-01-08,,,,,,,1990,annual
14,VALNET1,2778600000000,372989.0,,58,PEROUSE AVE,SAN REMO,2262.0,95000.0,LOT 354 DP 30316.,645.0,M,,CV,A,,,1990-01-08,1990-01-08,,,,,,,1990,annual
100,ARCHIVE,T6282000000000,,,6,MCCLEEREY PL,ALBION PARK,2527.0,160000.0,LOT 27 DP263741,810.0,M,ARC 14/34.86-16 X 32.7/38.01,,,,,1990-01-08,1990-01-08,,,,,,,1990,annual
50,ARCHIVE,T0432661310000,,,16,LA FONTAINE AV,ALBURY,2640.0,20390.0,DP735043 LOT 18,612.0,M,IRR/19.5X32.28/33.06,,,,,1990-01-08,1990-01-08,,,,,,,1990,annual
50,ARCHIVE,T0634500000000,,4,537,PRUNE ST,ALBURY,2640.0,0.0,SP 22464 LOT 4,0.0,M,,,A,,,1990-01-08,1990-01-08,,,,,,,1990,annual
100,ARCHIVE,T7981047000000,,,4,SCARBOROUGH CCT,ALBION PARK,2527.0,47750.0,LOT 516 DP791285,603.0,M,18 X 33.5,,,,,1990-01-08,1990-01-08,,,,,,,1990,annual
50,ARCHIVE,T0598550000000,,,651,PEARSALL ST,ALBURY,2640.0,140000.0,DP746182 LOT 5,741.0,M,19.42 X 38.2,,A,,,1990-01-08,1990-01-08,,,,,,,1990,annual
91,ARCHIVE,T0437110000000,,,12A,BATE AV,ALLAMBIE HEIGHTS,2100.0,142000.0,LOT 1 DP786364 SUBJ TO DE,600.0,M,23.70/23.08X27.84/24.51,,,,,1990-01-08,1990-01-08,,,,,,,1990,annual
142,ARCHIVE,T003329,,,22,HATTERSLEY ST,ARNCLIFFE,2205.0,120000.0,LOT37 DP1123 SEC 4,401.0,M,12.19X32.82/32.89,,,,,1990-01-08,1990-01-08,,,,,,,1990,annual
92,ARCHIVE,T72020000100000,,,164,HAMPDEN RD,ARTARMON,2064.0,0.0,SP9784,0.0,M,,,R,,,1990-01-08,1990-01-08,,,,,,,1990,annual
92,ARCHIVE,T004484,,1,164,HAMPDEN RD,ARTARMON,2064.0,200000.0,LOT 1 SP 9784,0.0,M,,,A,,,1990-01-08,1990-01-08,,,,,,,1990,annual
86,ARCHIVE,T013190,,3,1,WEST ST,BALGOWLAH,2093.0,415000.0,LOT 3 SP 4502,90.0,M,,,,,,1990-01-08,1990-01-08,,,,,,,1990,annual
171,ARCHIVE,T0124820000000,,,4,BOYLE AV,BANORA POINT,2486.0,54000.0,LOT 4 DP 250581,687.0,M,,,,,,1990-01-08,1990-01-08,,,,,,,1990,annual
171,ARCHIVE,T1377554900000,,29,26,TOOLONA AV,BANORA POINT,2486.0,135000.0,LOT 30 SP 33679,0.0,M,UNIT ENT : 3.125 %,,,,,1990-01-08,1990-01-08,,,,,,,1990,annual
4,ARCHIVE,0T42746031000,,,38,THOMAS ST,BARNSLEY,2301.0,91000.0,LOT 15 DP 631,0.0,M,,,A,,,1990-01-08,1990-01-08,,,,,,,1990,annual
100,ARCHIVE,T1570500000000,,,25,BARRACK AV,BARRACK HEIGHTS,2528.0,0.0,LOT 1 DP537281,556.0,M,16.18/13.46 X 37.85/38.10,,,,,1990-01-08,1990-01-08,,,,,,,1990,annual
97,ARCHIVE,T0213800000000,,,8,NORTH ST,BATEMANS BAY,2536.0,50000.0,LOT 1 DP380318,550.0,M,,,A,,,1990-01-08,1990-01-08,,,,,,,1990,annual
81,ARCHIVE,T015644,,,58,DELANEY DR,BAULKHAM HILLS,2153.0,240000.0,LOT 31 DP778775,1238.0,M,,,,,,1990-01-08,1990-01-08,,,,,,,1990,annual
82,ARCHIVE,T223934,,,14,LAMORNA AVE,BEECROFT,2119.0,245000.0,LOT 22 DP217863,923.0,M,23.010 X 39.780,,,,,1990-01-08,1990-01-08,,,,,,,1990,annual
14,ARCHIVE,383605117000,,,12,BON-MACE CL,BERKELEY VALE,2259.0,155000.0,LOT 117 DP 719820.,2366.0,M,,JF,I,,,1990-01-08,1990-01-08,,,,,,,1990,annual
18,ARCHIVE,T0185807,,,9,PARBERY AV,BERMAGUI,2546.0,47000.0,LOT 9 DP732355,605.0,M,,,,,,1990-01-08,1990-01-08,,,,,,,1990,annual
101,ARCHIVE,T1016392,,,106,KANGAROO VALLEY RD,BERRY,2535.0,255000.0,LOT 5 DP 255842,4410.0,M,,,A,,,1990-01-08,1990-01-08,,,,,,,1990,annual
1,ARCHIVE,T0036612000000,,,4,CHURCH ST,BRANXTON,2335.0,17000.0,SEC K LOT 12 DP1846,1012.0,M,20.12X50.29,,,,,1990-01-08,1990-01-08,,,,,,,1990,annual
137,ARCHIVE,531100000000,,,9,NEICH PD,BURWOOD,2134.0,171000.0,LOT 1 DP 121824.,278.2,M,,,A,,,1990-01-08,1990-01-08,,,,,,,1990,annual
218,ARCHIVE,T0032000000000,,,65,ALLMAN ST,CAMPBELLTOWN,2560.0,120000.0,LOT 261 DP32082,645.0,M,15.24X42.57,,,,,1990-01-08,1990-01-08,,,,,,,1990,annual
4,ARCHIVE,0T12857200000,,,286,MAIN RD,CARDIFF,2285.0,212500.0,LOT 1 DP 519194,0.0,M,,,B,,,1990-01-08,1990-01-08,,,,,,,1990,annual
144,ARCHIVE,T1962900000000,,,27,IRRUBEL RD,CARINGBAH,2229.0,200000.0,LOT 6 DP27691,587.0,M,15.24/14.63X39.62/39.01,,,,,1990-01-08,1990-01-08,,,,,,,1990,annual
4,ARCHIVE,0T12318000000,,,84,LOWRY ST,CARDIFF,2285.0,83000.0,LOT 23 DP 16174,0.0,M,,,A,,,1990-01-08,1990-01-08,,,,,,,1990,annual
141,ARCHIVE,T045358,,,51,GNARBO AVE,CARSS PARK,2221.0,365000.0,LOT 297 IN DP 12759,650.0,M,15.24X42.67,,,,,1990-01-08,1990-01-08,,,,,,,1990,annual
82,ARCHIVE,T225243,,,4,WREN PL,CASTLE HILL,2154.0,275000.0,LOT 9715 DP778387,782.0,M,11.950 X 44.570,,,,,1990-01-08,1990-01-08,,,,,,,1990,annual
1,ARCHIVE,T0001100000000,,,27,ABERDARE RD,CESSNOCK,2325.0,0.0,SEC 2 LOT 11,1011.0,M,20.12X50.29,,,,,1990-01-08,1990-01-08,,,,,,,1990,annual
4,ARCHIVE,0T15051000000,,,22,ALEXANDER PDE,CHARLESTOWN,2290.0,199000.0,LOT 11 DP 204736,708.0,M,,,A,,,1990-01-08,1990-01-08,,,,,,,1990,annual
92,ARCHIVE,T30330000000000,,,40,CLAUDE ST,CHATSWOOD,2067.0,365000.0,LOT 5 DP307434,420.0,M,12.19X34.14,,R,,,1990-01-08,1990-01-08,,,,,,,1990,annual
82,ARCHIVE,T225347,,,5,ABBEY PL,CHERRYBROOK,2126.0,365000.0,LOT 1037 DP785501,850.0,M,,,,,,1990-01-08,1990-01-08,,,,,,,1990,annual
101,ARCHIVE,T10112814,,,,POINTER RD,CONJOLA,2539.0,13300.0,LOTS 39 50 & 61 DP 792994,1.0,H,,,R,,,1990-01-08,1990-01-08,,,,,,,1990,annual
157,ARCHIVE,T625151,,,26,DULCONGHI ST,CRESCENT HEAD,2440.0,0.0,DP754441 POR 313 PH PALMERSTON COU MACQUARIE WEL 53/2,771.0,M,,,A,,,1990-01-08,1990-01-08,,,,,,,1990,annual
249,ARCHIVE,T24916569,,,,BARNES ST,DALGETY,2628.0,104000.0,LOT 100 DP800433,16.0,H,,,,,,1990-01-08,1990-01-08,,,,,,,1990,annual
91,ARCHIVE,T1580000000000,,11,10,FRANCIS ST,DEE WHY,2099.0,142000.0,LOT 11 SP6443,78.0,M,30.48/40.48X60.96,,,,,1990-01-08,1990-01-08,,,,,,,1990,annual
4,ARCHIVE,0T18970010000,,,12A,MINNIE ST,DORA CREEK,2264.0,0.0,LOT 70 DP 794193,0.0,M,,,A,,,1990-01-08,1990-01-08,,,,,,,1990,annual
204,ARCHIVE,T076500,,4,58,WRIGHTS RD,DRUMMOYNE,2047.0,347000.0,LOT 4 & 32 SP 3958,0.0,M,,,,,,1990-01-08,1990-01-08,,,,,,,1990,annual
114,ARCHIVE,199200000000,,,56,CHURCH ST,DUBBO,2830.0,82500.0,LOT 4 DP 259445.,435.2,M,,,B,,,1990-01-08,1990-01-08,,,,,,,1990,annual
204,ARCHIVE,T075270,,,46,RENWICK ST,DRUMMOYNE,2047.0,286500.0,LT 32 SEC 3 DP862,325.0,M,9.14X35.41/35.76,,,,,1990-01-08,1990-01-08,,,,,,,1990,annual
